Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Has_Kid,Age_Teen,Segmentation
0.0,0.0,0.05633802816901412,0.0,1.0,0.08333333333333333,0.0,0.5,0.5,0.0,1.0,3
1.0,1.0,0.2816901408450705,1.0,0.012462484023024634,0.08333333333333333,0.5,0.33333333333333337,0.5,1.0,0.0,0
1.0,1.0,0.6901408450704226,1.0,0.012462484023024634,0.08333333333333333,0.0,0.0,0.8333333333333333,0.0,0.0,1
0.0,1.0,0.6901408450704226,1.0,0.07445817528938536,0.0,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,1
1.0,1.0,0.3098591549295775,1.0,0.0,0.08333333333333333,1.0,0.8333333333333334,0.8333333333333333,1.0,0.0,0
0.0,1.0,0.5352112676056339,0.0,0.067395517100306,0.0,0.5,0.16666666666666666,0.8333333333333333,0.0,0.0,2
0.0,0.0,0.1971830985915493,1.0,1.0,0.08333333333333333,0.0,0.33333333333333337,0.8333333333333333,0.0,0.0,2
1.0,0.0,0.2112676056338028,1.0,1.0,0.08333333333333333,0.0,0.33333333333333337,0.8333333333333333,0.0,0.0,3
1.0,1.0,0.6056338028169014,1.0,0.012462484023024634,0.0,0.0,0.33333333333333337,1.0,1.0,0.0,3
1.0,1.0,0.5211267605633803,1.0,0.067395517100306,0.08333333333333333,0.5,0.5,0.8333333333333333,1.0,0.0,2
1.0,0.0,0.11267605633802819,1.0,0.012462484023024634,0.08333333333333333,0.0,0.33333333333333337,0.8333333333333333,0.0,1.0,0
0.0,0.0,0.014084507042253558,0.0,1.0,0.3333333333333333,0.0,0.5,0.5,0.0,1.0,3
1.0,0.0,0.014084507042253558,0.0,0.19312236627340496,0.0,0.0,0.33333333333333337,0.3333333333333333,0.0,1.0,3
0.0,1.0,0.7323943661971831,0.0,0.07445817528938536,0.08333333333333333,0.0,0.0,0.8333333333333333,0.0,0.0,0
1.0,1.0,0.5633802816901409,0.0,0.2262819034994188,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1
1.0,0.0,0.323943661971831,0.0,1.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,2
1.0,0.0,0.1971830985915493,0.0,0.25426904826827434,0.75,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3
0.0,0.0,0.1830985915492958,0.0,1.0,0.08333333333333333,0.0,0.8333333333333334,0.8333333333333333,0.0,0.0,1
0.0,1.0,0.5633802816901409,1.0,0.0,0.08333333333333333,0.5,0.5,0.8333333333333333,1.0,0.0,1
1.0,1.0,0.8591549295774649,1.0,0.067395517100306,0.0,1.0,0.0,0.8333333333333333,0.0,0.0,2
0.0,1.0,0.43661971830985913,1.0,0.25426904826827434,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0
1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.5,0.8333333333333333,0.0,1.0,3
0.0,1.0,0.2112676056338028,1.0,0.067395517100306,0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0
1.0,0.0,0.2535211267605634,1.0,0.067395517100306,0.41666666666666663,0.0,0.16666666666666666,0.8333333333333333,0.0,0.0,1
1.0,0.0,0.5633802816901409,0.0,0.19312236627340496,0.08333333333333333,0.5,0.33333333333333337,0.3333333333333333,0.0,0.0,1
0.0,1.0,0.5352112676056339,0.0,0.067395517100306,0.08333333333333333,0.5,0.33333333333333337,0.8333333333333333,1.0,0.0,2
